t,F(t)
0,0
0.02,0.02666667
0.04,0.05333333
0.06,0.08
0.08,0.1066667
0.09999999,0.1333333
0.12,0.16
0.14,0.1866667
0.16,0.2133334
0.18,0.24
0.2,0.2666667
0.22,0.2933334
0.24,0.32
0.26,0.3466667
0.28,0.3733334
0.3,0.4
0.32,0.4266667
0.34,0.4533334
0.36,0.48
0.38,0.5066667
0.4,0.5333334
0.42,0.56
0.44,0.5866666
0.46,0.6133333
0.48,0.6399999
0.5,0.6666666
0.52,0.6933332
0.54,0.7199998
0.56,0.7466665
0.58,0.7733331
0.6,0.7999998
0.62,0.8266664
0.64,0.8533331
0.66,0.8799997
0.68,0.9066663
0.7,0.933333
0.72,0.9599996
0.74,0.9866663
0.76,1.013333
0.78,1.04
0.8,1.066666
0.82,1.093333
0.84,1.12
0.86,1.146666
0.88,1.173333
0.9,1.199999
0.92,1.226666
0.94,1.253333
0.96,1.279999
0.98,1.306666
1,1.333333
1.02,1.359999
1.04,1.386666
1.06,1.413333
1.08,1.439999
1.1,1.466666
1.12,1.493333
1.14,1.519999
1.16,1.546666
1.18,1.573332
1.2,1.599999
1.22,1.626666
1.24,1.653332
1.26,1.679999
1.28,1.706666
1.3,1.733332
1.32,1.759999
1.34,1.786666
1.36,1.813332
1.38,1.839999
1.4,1.866665
1.42,1.893332
1.44,1.919999
1.46,1.946665
1.48,1.973332
1.5,1.999999
1.52,2.026665
1.54,2.053332
1.56,2.079999
1.58,2.106665
1.6,2.133332
1.62,2.159999
1.64,2.186665
1.66,2.213332
1.68,2.239999
1.7,2.266665
1.72,2.293332
1.74,2.319999
1.76,2.346665
1.78,2.373332
1.8,2.399998
1.82,2.426665
1.84,2.453332
1.86,2.479998
1.88,2.506665
1.9,2.533332
1.92,2.559998
1.94,2.586665
1.96,2.613332
1.98,2.639998
2,2.666665
2.02,2.693331
2.04,2.719998
2.06,2.746665
2.08,2.773331
2.1,2.799998
2.12,2.826665
2.14,2.853331
2.16,2.879998
2.18,2.906665
2.2,2.933331
2.22,2.959998
2.24,2.986665
2.26,3.013331
2.28,3.039998
2.3,3.066664
2.32,3.093331
2.34,3.119998
2.36,3.146664
2.38,3.173331
2.4,3.199998
2.42,3.226664
2.44,3.253331
2.46,3.279998
2.48,3.306664
2.5,3.333331
2.52,3.359998
2.54,3.386664
2.56,3.413331
2.58,3.439997
2.6,3.466664
2.62,3.493331
2.64,3.519997
2.66,3.546664
2.68,3.573331
2.7,3.599997
2.72,3.626664
2.74,3.653331
2.76,3.679997
2.78,3.706664
2.8,3.73333
2.82,3.759997
2.84,3.786664
2.86,3.81333
2.88,3.839997
2.9,3.866664
2.92,3.89333
2.94,3.919997
2.96,3.946664
2.98,3.97333
3,3.999997
3.02,4.026664
3.04,4.026664
3.06,4.026664
3.08,4.026664
3.1,4.026664
3.12,4.026664
3.14,4.026664
3.16,4.026664
3.18,4.026664
3.2,4.026664
3.22,4.026664
3.24,4.026664
3.26,4.026664
3.28,4.026664
3.3,4.026664
3.32,4.026664
3.34,4.026664
3.36,4.026664
3.38,4.026664
3.4,4.026664
3.42,4.026664
3.44,4.026664
3.46,4.026664
3.48,4.026664
3.5,4.026664
3.52,4.026664
3.54,4.026664
3.56,4.026664
3.58,4.026664
3.6,4.026664
3.62,4.026664
3.64,4.026664
3.66,4.026664
3.68,4.026664
3.7,4.026664
3.72,4.026664
3.74,4.026664
3.76,4.026664
3.78,4.026664
3.8,4.026664
3.82,4.026664
3.84,4.026664
3.86,4.026664
3.88,4.026664
3.9,4.026664
3.92,4.026664
3.94,4.026664
3.96,4.026664
3.98,4.026664
4,4.026664
4.02,3.92673
4.04,3.827582
4.06,3.7292
4.08,3.631563
4.1,3.534653
4.12,3.438449
4.14,3.342934
4.16,3.248086
4.18,3.153889
4.2,3.060322
4.22,2.967368
4.24,2.875006
4.26,2.78322
4.28,2.691991
4.3,2.6013
4.32,2.511129
4.34,2.42146
4.36,2.332275
4.38,2.243557
4.4,2.155288
4.42,2.06745
4.44,1.980025
4.46,1.892997
4.48,1.806346
4.5,1.720058
4.52,1.634113
4.54,1.548495
4.56,1.463187
4.58,1.378171
4.6,1.293431
4.62,1.208949
4.64,1.12471
4.66,1.040695
4.68,0.9568887
4.7,0.8732737
4.72,0.7898332
4.74,0.7065508
4.76,0.6234096
4.78,0.5403932
4.8,0.4574848
4.82,0.3746678
4.84,0.2919258
4.86,0.2092422
4.88,0.1266005
4.9,0.04398402
4.92,-0.03862363
4.94,-0.121239
4.96,-0.2038786
4.98,-0.286559
5,-0.3692967
5.02,-0.4521083
5.04,-0.5350103
5.06,-0.6180193
5.08,-0.7011518
5.1,-0.7844247
5.12,-0.8678544
5.14,-0.9514576
5.16,-1.035251
5.18,-1.119252
5.2,-1.203476
5.22,-1.287941
5.24,-1.372664
5.26,-1.457661
5.28,-1.54295
5.3,-1.628548
5.32,-1.714471
5.34,-1.800737
5.36,-1.887363
5.38,-1.974366
5.4,-2.061765
5.42,-2.149576
5.44,-2.237817
5.46,-2.326505
5.48,-2.415658
5.5,-2.505295
5.52,-2.595433
5.54,-2.68609
5.56,-2.777284
5.58,-2.869034
5.6,-2.961357
5.62,-3.054273
5.64,-3.147799
5.66,-3.241955
5.68,-3.33676
5.7,-3.432232
5.72,-3.52839
5.74,-3.625254
5.76,-3.722843
5.78,-3.821177
5.8,-3.920274
5.82,-4.020156
5.84,-4.120842
5.86,-4.222352
5.88,-4.222352
5.9,-4.222352
5.92,-4.222352
5.94,-4.222352
5.96,-4.222352
5.98,-4.222352
6,-4.222352
6.02,-4.222352
6.04,-4.222352
6.06,-4.222352
6.08,-4.222352
6.1,-4.222352
6.12,-4.222352
6.14,-4.222352
6.16,-4.222352
6.18,-4.222352
6.2,-4.222352
6.22,-4.222352
6.24,-4.222352
6.26,-4.222352
6.28,-4.222352
6.3,-4.222352
6.32,-4.222352
6.34,-4.222352
6.36,-4.222352
6.38,-4.222352
6.4,-4.222352
6.42,-4.222352
6.44,-4.222352
6.46,-4.222352
6.48,-4.222352
6.5,-4.222352
6.52,-4.222352
6.54,-4.222352
6.56,-4.222352
6.58,-4.222352
6.6,-4.222352
6.62,-4.222352
6.64,-4.222352
6.66,-4.222352
6.68,-4.222352
6.7,-4.222352
